stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
693,South America,-66.5,-34.836982706677,1,4,3,3
694,South America,-65.5,-34.836982706677,1,4,3,3
695,South America,-64.5,-34.836982706677,1,4,3,4
696,South America,-63.5,-34.836982706677,1,4,5,7
697,South America,-62.5,-34.836982706677,1,5,5,7
698,South America,-61.5,-34.836982706677,1,5,5,7
699,South America,-60.5,-34.836982706677,1,6,6,7
700,South America,-59.5,-34.836982706677,1,6,6,8
701,South America,-58.5,-34.836982706677,6,7,8,8
712,Oceania,116.5,-34.836982706677,2,6,3,4
713,Oceania,117.5,-34.836982706677,2,4,3,5
720,Oceania,137.5,-34.836982706677,4,3,3,4
721,Oceania,138.5,-34.836982706677,6,2,7,8
722,Oceania,139.5,-34.836982706677,1,2,3,3
723,Oceania,140.5,-34.836982706677,1,2,4,6
724,Oceania,141.5,-34.836982706677,1,2,2,3
725,Oceania,142.5,-34.836982706677,1,2,4,6
726,Oceania,143.5,-34.836982706677,1,2,2,2
727,Oceania,144.5,-34.836982706677,1,2,3,3
728,Oceania,145.5,-34.836982706677,1,2,2,3
729,Oceania,146.5,-34.836982706677,1,2,4,6
730,Oceania,147.5,-34.836982706677,2,3,3,6
731,Oceania,148.5,-34.836982706677,3,3,4,6
732,Oceania,149.5,-34.836982706677,6,4,4,6
733,Oceania,150.5,-34.836982706677,3,3,7,8
740,South America,-71.5,-33.836982706677,3,2,7,8
741,South America,-70.5,-33.836982706677,6,2,7,8
742,South America,-69.5,-33.836982706677,3,3,5,8
743,South America,-68.5,-33.836982706677,2,3,6,8
744,South America,-67.5,-33.836982706677,1,3,3,4
745,South America,-66.5,-33.836982706677,1,3,5,7
746,South America,-65.5,-33.836982706677,1,3,5,7
747,South America,-64.5,-33.836982706677,1,4,5,7
748,South America,-63.5,-33.836982706677,1,4,4,5
749,South America,-62.5,-33.836982706677,1,4,5,7
750,South America,-61.5,-33.836982706677,1,5,6,7
751,South America,-60.5,-33.836982706677,1,5,7,8
752,South America,-59.5,-33.836982706677,1,5,6,7
753,South America,-58.5,-33.836982706677,1,6,6,7
754,South America,-57.5,-33.836982706677,1,6,4,4
755,South America,-56.5,-33.836982706677,1,5,6,7
756,South America,-55.5,-33.836982706677,2,4,4,4
757,South America,-54.5,-33.836982706677,2,4,6,8
758,South America,-53.5,-33.836982706677,1,3,5,8
760,Africa,18.5,-33.836982706677,6,2,7,8
761,Africa,19.5,-33.836982706677,3,2,5,7
762,Africa,20.5,-33.836982706677,3,2,3,4
763,Africa,21.5,-33.836982706677,3,1,2,3
764,Africa,22.5,-33.836982706677,3,2,5,7
765,Africa,23.5,-33.836982706677,3,2,3,3
766,Africa,24.5,-33.836982706677,3,2,3,4
767,Africa,25.5,-33.836982706677,6,2,7,8
771,Oceania,115.5,-33.836982706677,2,5,6,8
772,Oceania,116.5,-33.836982706677,2,3,3,4
773,Oceania,117.5,-33.836982706677,2,2,3,3
774,Oceania,118.5,-33.836982706677,1,2,2,2
775,Oceania,119.5,-33.836982706677,2,2,2,2
776,Oceania,120.5,-33.836982706677,2,2,3,3
778,Oceania,122.5,-33.836982706677,1,3,3,3
779,Oceania,123.5,-33.836982706677,1,4,3,3
782,Oceania,135.5,-33.836982706677,1,2,2,2
783,Oceania,136.5,-33.836982706677,2,2,2,3
785,Oceania,138.5,-33.836982706677,2,2,4,6
786,Oceania,139.5,-33.836982706677,1,2,2,2
787,Oceania,140.5,-33.836982706677,1,2,2,2
788,Oceania,141.5,-33.836982706677,1,2,2,2
789,Oceania,142.5,-33.836982706677,1,2,2,2
790,Oceania,143.5,-33.836982706677,1,2,2,2
791,Oceania,144.5,-33.836982706677,1,2,2,2
792,Oceania,145.5,-33.836982706677,1,2,2,3
793,Oceania,146.5,-33.836982706677,1,2,2,3
794,Oceania,147.5,-33.836982706677,1,2,3,4
795,Oceania,148.5,-33.836982706677,2,3,4,6
796,Oceania,149.5,-33.836982706677,3,3,5,6
797,Oceania,150.5,-33.836982706677,6,3,7,8
800,South America,-71.5,-32.836982706677,6,2,7,8
801,South America,-70.5,-32.836982706677,3,2,5,7
802,South America,-69.5,-32.836982706677,3,2,3,4
803,South America,-68.5,-32.836982706677,6,2,7,8
804,South America,-67.5,-32.836982706677,1,3,3,3
805,South America,-66.5,-32.836982706677,2,3,3,3
806,South America,-65.5,-32.836982706677,2,3,4,7
807,South America,-64.5,-32.836982706677,2,3,5,7
808,South America,-63.5,-32.836982706677,1,3,5,7
809,South America,-62.5,-32.836982706677,1,4,5,7
810,South America,-61.5,-32.836982706677,1,4,5,7
